SCHOOL,CONFERENCE,W,L,PF,PA,AVG_POINTS_PER _GAME,DEF_ AVG_POINTS_PER _GAME
Cincinnati,AAC,13,1,516,236,36.9,16.9
Houston,AAC,12,2,508,286,36.3,20.4
UCF,AAC,9,4,478,333,36.8,25.6
SMU,AAC,8,4,461,341,38.4,28.4
East Carolina,AAC,7,5,356,315,29.7,26.3
Tulsa,AAC,7,6,343,346,26.4,26.6
Memphis,AAC,6,6,361,351,30.1,29.3
Navy,AAC,4,8,241,339,20.1,28.3
Temple,AAC,3,9,196,450,16.3,37.5
Tulane,AAC,2,10,331,408,27.6,34
South Fla.,AAC,2,10,278,422,23.2,35.2
Pittsburgh,ACC,11,3,580,331,41.4,23.6
Wake Forest,ACC,11,3,574,404,41,28.9
Clemson,ACC,10,3,342,193,26.3,14.8
NC State,ACC,9,3,397,236,33.1,19.7
Miami (FL),ACC,7,5,409,341,34.1,28.4
Virginia,ACC,6,6,415,382,34.6,31.8
Louisville,ACC,6,7,411,355,31.6,27.3
Virginia Tech,ACC,6,7,308,329,23.7,25.3
North Carolina,ACC,6,7,458,417,35.2,32.1
Boston College,ACC,6,6,296,266,24.7,22.2
Florida St.,ACC,5,7,331,318,27.6,26.5
Syracuse,ACC,5,7,299,316,24.9,26.3
Georgia Tech,ACC,3,9,288,402,24,33.5
Duke,ACC,3,9,274,477,22.8,39.8
Oklahoma St.,Big 12,12,2,435,253,31.1,18.1
Baylor,Big 12,12,2,443,256,31.6,18.3
Oklahoma,Big 12,11,2,508,335,39.1,25.8
Kansas St.,Big 12,8,5,358,273,27.5,21
Iowa St.,Big 12,7,6,407,267,31.3,20.5
Texas Tech,Big 12,7,6,394,392,30.3,30.2
West Virginia,Big 12,6,7,328,310,25.2,23.8
Texas,Big 12,5,7,423,373,35.3,31.1
TCU,Big 12,5,7,344,419,28.7,34.9
Kansas,Big 12,2,10,249,506,20.8,42.2
Michigan,Big Ten,12,2,501,243,35.8,17.4
Ohio St.,Big Ten,11,2,594,296,45.7,22.8
Michigan St.,Big Ten,11,2,414,329,31.8,25.3
Iowa,Big Ten,10,4,328,269,23.4,19.2
Purdue,Big Ten,9,4,378,291,29.1,22.4
Minnesota,Big Ten,9,4,331,225,25.5,17.3
Wisconsin,Big Ten,9,4,330,210,25.4,16.2
Penn St.,Big Ten,7,6,325,225,25,17.3
Maryland,Big Ten,7,6,381,399,29.3,30.7
Illinois,Big Ten,5,7,242,263,20.2,21.9
Rutgers,Big Ten,5,8,256,333,19.7,25.6
Nebraska,Big Ten,3,9,335,272,27.9,22.7
Northwestern,Big Ten,3,9,199,348,16.6,29
Indiana,Big Ten,2,10,207,399,17.3,33.3
UTSA,C-USA,12,2,516,345,36.9,24.6
Western Ky.,C-USA,9,5,619,411,44.2,29.4
UAB,C-USA,9,4,384,302,29.5,23.2
Marshall,C-USA,7,6,429,309,33,23.8
Middle Tenn.,C-USA,7,6,388,334,29.8,25.7
UTEP,C-USA,7,6,310,321,23.8,24.7
Old Dominion,C-USA,6,7,359,361,27.6,27.8
North Texas,C-USA,6,7,357,357,27.5,27.5
Charlotte,C-USA,5,7,324,408,27,34
Fla. Atlantic,C-USA,5,7,298,294,24.8,24.5
Rice,C-USA,4,8,258,434,21.5,36.2
Louisiana Tech,C-USA,3,9,336,408,28,34
Southern Miss.,C-USA,3,9,212,335,17.7,27.9
FIU,C-USA,1,11,244,476,20.3,39.7
Notre Dame,FBS Independent,11,2,458,256,35.2,19.7
BYU,FBS Independent,10,3,430,322,33.1,24.8
Army West Point,FBS Independent,9,4,427,290,32.8,22.3
Liberty,FBS Independent,8,5,437,280,33.6,21.5
New Mexico St.,FBS Independent,2,10,269,485,22.4,40.4
Massachusetts,FBS Independent,1,11,196,517,16.3,43.1
UConn,FBS Independent,1,11,187,462,15.6,38.5
NIU,MAC,9,5,451,472,32.2,33.7
Central Mich.,MAC,9,4,420,335,32.3,25.8
Western Mich.,MAC,8,5,422,367,32.5,28.2
Kent St.,MAC,7,7,462,508,33,36.3
Toledo,MAC,7,6,434,283,33.4,21.8
Miami (OH),MAC,7,6,376,300,28.9,23.1
